epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.10219,2.09044,3.4648,1.9254,0.0043,0.45,0.01499,0.008,1.81636,3.72065,1.72345,1.667e-05,1.667e-05,1.667e-05
2,8.8385,2.01788,3.16962,2.11378,0.00448,0.4375,0.04599,0.0138,1.79733,3.71736,1.68373,4.90198e-05,4.90198e-05,4.90198e-05
3,12.4349,2.19361,3.39354,1.75742,0.00444,0.4375,0.07852,0.05192,1.75731,3.70622,1.6128,8.00493e-05,8.00493e-05,8.00493e-05
4,15.8819,1.5374,3.23871,1.87006,0.00418,0.40417,0.08165,0.06188,1.65059,3.64782,1.51183,0.000109759,0.000109759,0.000109759
5,19.2818,1.38532,3.05513,1.64714,0.00492,0.50417,0.08994,0.06316,1.64212,3.65276,1.51599,0.000138148,0.000138148,0.000138148
6,22.7595,1.66568,3.0091,1.68471,0.00492,0.50417,0.1258,0.07677,1.53619,3.61646,1.46394,0.000165216,0.000165216,0.000165216
7,26.1952,1.25132,2.84381,1.46299,0.00556,0.55833,0.13207,0.09689,1.48275,3.57857,1.43571,0.000190965,0.000190965,0.000190965
8,29.5695,1.39268,2.8782,1.52394,0.00556,0.55833,0.18304,0.13868,1.40535,3.53399,1.40118,0.000215393,0.000215393,0.000215393
9,32.9326,1.95026,3.36584,1.57797,0.00592,0.57917,0.16943,0.13207,1.40379,3.50864,1.36575,0.000238501,0.000238501,0.000238501
10,36.3893,1.55564,2.84198,1.6119,0.00628,0.6,0.15384,0.11902,1.40453,3.46498,1.34183,0.000260289,0.000260289,0.000260289
11,39.78,1.71363,2.94565,1.52634,0.00592,0.57917,0.1402,0.10839,1.42929,3.38032,1.29877,0.000280756,0.000280756,0.000280756
12,43.111,1.50261,2.64552,1.52518,0.00592,0.57917,0.1402,0.10839,1.42929,3.38032,1.29877,0.000299903,0.000299903,0.000299903
13,46.5277,1.33471,2.49745,1.53809,0.00549,0.5,0.13701,0.1037,1.41751,3.34087,1.27641,0.00031773,0.00031773,0.00031773
14,49.9292,1.39118,2.56848,1.33902,0.00646,0.575,0.13288,0.10258,1.37881,3.29163,1.23071,0.000334237,0.000334237,0.000334237
15,53.256,1.58572,2.67655,1.44453,0.00646,0.575,0.13288,0.10258,1.37881,3.29163,1.23071,0.000349423,0.000349423,0.000349423
16,56.6478,1.39529,2.57793,1.38211,0.45455,0.09359,0.13382,0.10367,1.33926,3.22632,1.21866,0.000363289,0.000363289,0.000363289
17,60.1595,1.56298,2.29409,1.36355,0.00757,0.68333,0.14286,0.09728,1.37677,3.18613,1.25562,0.000375835,0.000375835,0.000375835
18,63.5644,1.66602,2.12346,1.45095,0.00757,0.68333,0.14286,0.09728,1.37677,3.18613,1.25562,0.000387061,0.000387061,0.000387061
19,66.9915,1.20981,2.26187,1.32966,0.57157,0.10955,0.14641,0.10109,1.38895,3.08087,1.28731,0.000396966,0.000396966,0.000396966
20,70.3619,1.52527,2.29234,1.5681,0.57157,0.10955,0.14641,0.10109,1.38895,3.08087,1.28731,0.000405551,0.000405551,0.000405551
21,73.7445,1.07309,2.05112,1.23643,0.58212,0.06667,0.15936,0.11898,1.35933,2.98593,1.27318,0.000412816,0.000412816,0.000412816
22,77.0617,1.32371,1.88655,1.36989,0.58212,0.06667,0.15936,0.11898,1.35933,2.98593,1.27318,0.00041876,0.00041876,0.00041876
23,80.4648,1.50115,2.00167,1.54747,0.48726,0.27048,0.40273,0.1933,1.36097,2.84615,1.28335,0.000423385,0.000423385,0.000423385
24,83.8653,1.54555,2.10664,1.45746,0.48726,0.27048,0.40273,0.1933,1.36097,2.84615,1.28335,0.000426689,0.000426689,0.000426689
25,87.309,1.28647,2.53493,1.44792,0.67267,0.12462,0.46136,0.26178,1.29501,2.74461,1.22588,0.000428672,0.000428672,0.000428672
26,90.6676,1.18833,2.16697,1.44082,0.67267,0.12462,0.46136,0.26178,1.29501,2.74461,1.22588,0.000429336,0.000429336,0.000429336
27,93.9945,1.40199,1.57066,1.28258,0.67267,0.12462,0.46136,0.26178,1.29501,2.74461,1.22588,0.000428679,0.000428679,0.000428679
28,97.4434,1.31155,1.7923,1.45668,1,0.09356,0.47567,0.2833,1.28715,2.67972,1.19131,0.000426702,0.000426702,0.000426702
29,100.932,1.59517,1.53332,1.2902,1,0.09356,0.47567,0.2833,1.28715,2.67972,1.19131,0.000423405,0.000423405,0.000423405
30,104.414,1.09772,1.78114,1.23811,0.74877,0.16615,0.44868,0.27833,1.24525,2.6022,1.18197,0.000418787,0.000418787,0.000418787
31,107.727,0.97248,1.58638,1.35846,0.74877,0.16615,0.44868,0.27833,1.24525,2.6022,1.18197,0.000412849,0.000412849,0.000412849
32,111.071,1.30375,1.78835,1.32839,0.74877,0.16615,0.44868,0.27833,1.24525,2.6022,1.18197,0.000405591,0.000405591,0.000405591
33,114.484,1.20316,1.81058,1.21609,0.65344,0.20125,0.44042,0.2594,1.28042,2.53099,1.18287,0.000397013,0.000397013,0.000397013
34,117.863,1.31553,1.74701,1.24917,0.65344,0.20125,0.44042,0.2594,1.28042,2.53099,1.18287,0.000387114,0.000387114,0.000387114
35,121.19,1.12968,1.52119,1.22123,0.65344,0.20125,0.44042,0.2594,1.28042,2.53099,1.18287,0.000375895,0.000375895,0.000375895
36,124.702,1.28447,1.71961,1.37617,0.598,0.26673,0.45432,0.24075,1.31249,2.4889,1.19972,0.000363356,0.000363356,0.000363356
37,128.137,1.00901,1.53084,1.20624,0.598,0.26673,0.45432,0.24075,1.31249,2.4889,1.19972,0.000349497,0.000349497,0.000349497
